dim1,dim2,label
-25.441458,5.509912,0.0
-17.261108,46.98375,0.0
23.575676,-58.584713,0.0
54.24888,-32.164352,0.0
21.037632,-28.728474,0.0
8.079088,8.941729,0.0
10.617343,-6.5394483,0.0
-1.161656,-6.972722,0.0
-18.966436,-39.72512,1.0
-25.025991,-29.26971,0.0
-23.76723,38.296295,1.0
43.487556,6.5359282,0.0
-37.659836,41.339264,0.0
14.499941,-27.510824,0.0
37.929264,-8.402989,0.0
10.861098,38.86904,0.0
-36.106495,48.933624,0.0
11.70125,22.482624,0.0
-15.841362,3.5486944,0.0
23.139282,-39.121536,1.0
58.82211,12.699846,0.0
8.045018,15.564907,1.0
18.171825,15.256836,0.0
34.50085,39.883152,1.0
14.352781,-22.144588,0.0
-38.516605,55.924587,0.0
37.151173,11.831261,0.0
10.918281,19.535166,0.0
30.289293,0.20211521,0.0
35.320637,41.155178,1.0
-46.395596,16.639423,0.0
4.4707613,20.732876,0.0
2.36553,-44.52333,0.0
-15.793293,50.017113,0.0
46.029163,-8.202306,1.0
47.74794,30.226717,0.0
-25.782684,23.30344,0.0
-29.460218,57.048416,0.0
-66.95228,23.250025,0.0
44.289642,-20.87185,1.0
59.179775,-16.490772,0.0
29.966154,-8.078139,1.0
1.0196314,17.699146,0.0
-49.141483,38.090065,0.0
17.777016,10.436629,0.0
15.76833,28.531353,0.0
-26.584274,0.3102558,0.0
17.841322,-16.219753,0.0
-59.564907,29.137936,0.0
-5.568665,7.7795057,0.0
-29.730003,-10.525465,1.0
28.497128,-38.04508,0.0
-25.760107,-10.7888775,0.0
-40.205807,26.376911,0.0
-0.52742404,10.014161,0.0
-45.798965,-33.196907,1.0
38.17084,20.643436,0.0
-35.42399,57.285984,0.0
24.098045,-59.14419,0.0
-41.346466,55.053783,0.0
-39.026333,44.758514,0.0
35.19471,12.287419,1.0
-9.393768,30.006271,0.0
-51.40007,45.084457,0.0
25.744894,11.396289,0.0
-26.34626,-37.843075,0.0
34.936913,35.777634,1.0
32.0812,5.698084,0.0
59.00274,-16.607172,0.0
-21.278517,65.42747,0.0
-24.588194,1.2914255,0.0
-9.572854,-10.878005,0.0
61.882435,17.145748,0.0
-17.200277,3.9672122,0.0
-30.168446,-40.08537,0.0
38.296,12.583449,0.0
49.513954,16.024654,1.0
15.525102,3.48811,0.0
-53.036095,39.055832,0.0
5.141717,25.125986,0.0
59.475758,-7.523465,1.0
21.041119,-52.097458,0.0
-48.449657,10.765737,0.0
-61.773148,23.508709,0.0
-27.25476,-28.99874,0.0
38.466423,-45.82275,0.0
6.350924,1.4334675,0.0
36.399242,21.679752,0.0
-39.06661,46.514538,0.0
39.363224,-43.47574,1.0
-33.953503,36.42216,1.0
37.396,-8.791605,0.0
28.049828,-8.458781,0.0
34.60869,-36.038498,0.0
27.06514,-21.790571,0.0
10.787341,-37.666943,0.0
-44.84032,15.955298,0.0
-30.248772,-24.281176,0.0
36.3491,22.121927,0.0
59.855877,-5.1005983,1.0
-19.834051,60.810547,0.0
-28.0249,42.978493,0.0
38.56532,37.878258,0.0
22.314964,32.317562,0.0
56.278484,12.567383,0.0
38.072712,-1.562256,0.0
52.518272,-24.127106,0.0
-24.193586,0.89464283,0.0
26.009932,45.01664,1.0
20.166174,-61.610325,0.0
28.110285,-6.3316984,0.0
21.718445,-27.11868,0.0
6.4610534,-55.582874,0.0
47.428886,-15.325479,1.0
-57.21269,13.981464,0.0
-33.33337,-32.398037,0.0
0.951365,1.1795658,0.0
38.074226,23.329254,0.0
-29.860874,17.981722,0.0
-29.854979,-6.313329,0.0
-18.273401,64.0439,0.0
-24.548395,-17.602179,0.0
28.725992,41.600857,0.0
-35.347683,44.645134,0.0
16.41774,-26.928175,0.0
44.37611,29.299923,0.0
22.07953,10.559675,0.0
-48.16113,10.925059,0.0
-23.419807,-21.037,0.0
39.22612,12.866256,0.0
-14.656569,-44.90829,0.0
1.3778764,18.403196,0.0
38.714703,-15.624661,1.0
7.4336967,-11.872878,0.0
37.751907,13.775097,0.0
15.396889,14.182552,0.0
0.91159916,56.86912,0.0
-13.973262,-31.811344,0.0
35.182217,41.36041,1.0
-19.267729,7.8280134,0.0
-41.03662,-5.1814156,0.0
24.855743,13.850481,0.0
-66.6953,24.483168,1.0
22.930307,30.22167,0.0
19.472584,-18.855465,0.0
-54.86053,41.46968,0.0
34.466846,31.760538,1.0
-21.471024,46.89104,0.0
27.50741,-20.171118,0.0
-4.3688993,-61.093025,0.0
-0.036942016,-39.908947,0.0
-16.60329,4.696015,0.0
18.1165,-62.650852,0.0
-7.704893,50.11364,1.0
19.090515,14.121314,0.0
-35.809364,-31.115276,0.0
-1.0052772,49.428883,0.0
-39.88706,28.91986,0.0
-40.879333,23.092665,0.0
35.9847,-5.2305565,0.0
25.21023,39.812374,1.0
-32.543976,62.471348,0.0
20.661333,-12.238328,0.0
-21.970942,64.89963,0.0
23.867336,14.333748,0.0
11.281107,0.57719016,0.0
-38.91424,-46.469727,0.0
48.290092,34.323696,0.0
24.241203,-61.394733,0.0
