dim1,dim2,label
-18.90635,10.78866,0.0
0.44578594,23.033003,0.0
-31.240318,-50.8958,0.0
57.358273,13.651679,0.0
-52.2292,42.632603,0.0
40.960297,10.135847,0.0
-54.257584,16.63636,0.0
-50.80657,4.761932,0.0
37.24361,16.65931,0.0
-0.02159334,-48.552162,0.0
71.38149,-5.898515,1.0
16.086166,-35.947304,0.0
-8.996273,7.4191027,0.0
67.475266,7.1513834,0.0
-56.233204,-7.3144393,0.0
-32.19367,45.370926,1.0
28.760933,-33.002754,0.0
1.5856376,-64.57806,0.0
24.221035,-16.278809,0.0
74.87948,-3.489437,0.0
30.195456,-14.884932,0.0
-55.148792,55.09122,0.0
-4.407875,28.319906,0.0
-59.780205,11.09477,1.0
32.015663,38.256924,0.0
36.719646,31.380161,0.0
32.740135,-7.2488203,0.0
-0.40825826,-61.54785,1.0
-6.615382,-2.3132696,0.0
-33.79367,15.773268,0.0
39.48489,-9.11596,0.0
-49.42735,53.96138,0.0
-64.43205,-8.725089,1.0
0.77537566,37.804173,0.0
5.6315656,28.612762,1.0
-7.5033393,52.468685,0.0
23.996279,27.412409,1.0
-35.482704,-37.28161,1.0
78.01488,11.7553625,1.0
3.3791447,-54.055218,0.0
-29.607939,15.971192,0.0
-49.21872,51.251186,1.0
17.41189,61.460808,0.0
-9.923628,-3.2218523,0.0
14.653698,-34.74911,1.0
-40.63033,52.572765,0.0
31.10886,-11.755875,0.0
13.533658,-51.81209,0.0
-11.37101,-51.802574,0.0
-53.4677,-12.833965,0.0
-25.022318,36.684444,0.0
-2.0195968,-34.225243,0.0
3.0008602,51.43083,0.0
2.0214422,-10.729364,0.0
-66.574356,-12.909832,1.0
-27.407503,-15.364533,0.0
-3.2062163,-41.56159,0.0
-14.429938,-31.03132,0.0
-1.3577167,-49.05643,0.0
-56.517986,-19.53455,0.0
-22.458656,20.564789,0.0
-25.71944,-51.43563,1.0
-6.822759,-38.244846,0.0
-49.038982,51.990803,1.0
18.817244,-29.317413,1.0
16.102509,23.361814,1.0
3.752623,-7.2850037,0.0
-36.25914,-57.576588,1.0
